New Code,Old Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
E09000030,00BG,Tower Hamlets,7.81,7.58,7.97,8.35,8.56,8.48,9.12,8.24,8.88,8.87,8.70,9.01,10.88,11.88,12.82,12.88,12.66
E09000031,00BH,Waltham Forest,5.69,6.61,7.20,7.55,7.63,8.37,8.28,7.40,7.81,8.51,8.27,8.94,10.68,12.13,13.22,14.08,13.61
E09000032,00BJ,Wandsworth,7.52,8.03,8.48,8.59,9.30,10.53,10.28,9.14,9.79,10.64,10.89,11.75,13.12,13.78,15.12,16.34,14.88
E09000033,00BK,Westminster,11.01,11.43,10.58,11.30,12.32,12.86,12.93,13.27,12.11,14.59,14.09,18.69,20.38,20.45,23.48,24.36,23.48
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
